"Nevjerovatan plan ima Real Madrid sa Moratom","Španski napadač i član ekipe Juventusa Alvaro Morata postao je pravo sredstvo prikupljanja novca za Real Madrid.","2016-05-22 21:28:48"
"Buffon objavio emotivno pismo","Kapiten Juventusa Gianluigi Buffon napisao je emotivno pismo koje je posvetio svom najboljem prijatelju - golu.","2016-05-22 21:29:53"
"Juventus želi otkupiti Cuadradov ugovor","Kolumbijski reprezentativac Juan Cuadrado će po svemu sudeći ostati član Juventusa, u kojem boravi kao pozajmljen igrač iz Chelseaja.","2016-05-22 21:30:29"
"Milan bolji, ali Juve slavi još jedan trofej","Milan i Juventus odmjerili su snage večeras na Olimpicu u Rimu u finalu Kupa Italije.","2016-05-22 21:35:55"
