SITOTISAK/SERIGRAFIJA,sito.jpg,Sitotisak (serigrafija&#44; svilotisak) spada u direktnu tehniku propusnoga tiska s mogućno&scaron;ću tiska na različite materijale. Smatra se najstarijom tehnikom tiska. U odnosu na druge tehnike tiska&#44; sitotisak ima mogućnost nano&scaron;enja različitih debljina slojeva boje&#44; tako da konačni otisak na predmetu može biti reljefan. Otisak odlikuje dugi vijek trajanja u svim uvjetima kori&scaron;tenja&#44; te velika pokrivnost. U usporedbi s drugim tehnikama tiska&#44; kvaliteta sitotiska nije velika&#44; zbog nepravilnog oblika reproduciranih rasterskih tačkica.,Vedad Kazić&#44; 2013.,2013-05-20 16:34:00
Digitalni fotoaparat vs. klasični fotoaparat,aparat.jpeg,Za usporedbu&#44; moderni kompaktni digitalni fotoaparati imaju 7-14 megapiksela&#44; profesionalni digitalni SLR aparati 10-24 megapiksela&#44; a ekstremni i vrlo skupi digitalni aparati imaju do 297 megapiksela (uzmite u obzir da je nemoguće precizno usporediti film i digitalnu sliku).Slike na filmu su pouzdane za dokumentaciju. Može ih se lako spremiti u ormar dok su digitalne slike izgubljene u slučaju kvara hard diska. Također&#44; na filmu se lako i pouzdano mogu uočiti sve naknadne promjene dok ne postoji software koji može otkriti &scaron;to je (ako je i&scaron;ta) promijenjeno na digitalnoj slici., ,2016-05-20 17:01:36 
Prednosti digitalne fotografije,prednosti.jpg,Digitalni fotoaparati omogućuju pregled snimaka na licu mjesta (bez razvijanja)&#44; &scaron;to znači da fotograf može lako uočiti gre&scaron;ke kod snimanja i ispraviti ih dok jo&scaron; nije prekasno. Po&scaron;to se slike mogu i brisati&#44; može se snimati mnogo uzastopnih slika s malim razlikama&#44; izbrisati lo&scaron;e i sačuvati samo uspje&scaron;ne. Kod klasičnih fotoaparata to bi bilo preskupo. Možete i odabrati samo neke fotografije koje ćete ispisati na papir (ako ih uopće želite ispisivati). Ako imate računalo sa pisačem&#44; nije potrebno fotografije nositi u foto-studio - one se mogu ispisati i kod kuće. Također&#44; fotografije se na računalu mogu i obraditi te pobolj&scaron;ati (npr. poo&scaron;triti&#44; kontrolirati kontrast&#44; svjetloću&#44; intenzitet boje...).,Vedad Kazić&#44; 2015.,2016-05-20 17:05:14 
Digitalna fotografija,digitalna-fotografija.jpg,Digitalna fotografija&#44; za razliku od klasične&#44; ne koristi film već sliku &quot;vidi&quot; preko elektroničkog senzora kao skup binarnih podataka. To omogućava spremanje i uređivanje slika na osobnom računalu. Danas su digitalni fotoaparati prodavaniji od klasičnih. Osim snimanja fotografija&#44; oni često omogućuju i snimanje videa i zvuka.,Vedad Kazić&#44; 2015.,2016-05-20 17:10:39 
Citat - Jackson Pollock,pejzaz.jpg,Pollock je rekao sljedeće; &bdquo;Kada sam na slici&#44; nisam svjestan onoga &scaron;to radim. Tek nakon prvog perioda upoznavanja uvidim &scaron;to&#44; sam činio. Ne pla&scaron;im se da unesem promjene u slici&#44; da je uni&scaron;tim i sl.&#44; jer slika ima svoj sopstveni život. Ja poku&scaron;avam da joj ga omogućim. Samo kad izgubim kontakt sa slikom&#44; nastaje haos. U suprotnom postoji samo harmonija&#44; jedan lak proces uzimanja i davanja&#44; pa slika na kraju uspije&ldquo;.,Vedad Kazić&#44; 2015.,2016-05-20 17:41:11
O pejzažu,planina.jpg,Pejzaž kroz historiju: od prahistorije do danas. &quot;Prvobitno&#44; pejzaž se slikao u vidu magijskih rituala&#44; zatim se slikao u vidu pozadina&#44; scena biblije&#44; te samih pozadina portreta i autoportreta. Zatim pejzaž prelazi u prvi plan&#44; i prikazuje se u klasičnom i apstraktnom obliku. Na ovu temu odlučio sam se baveći se brdskim biciklizmom i planinarenjem po planinama oko Sarajeva i gledajući ta velika prostranstva zelenila.&quot; Vedad Kazic,Vedad Kazić&#44; 2015.,2016-05-20 17:56:00 
